index,drawing_id,countrycode,category,prompt_id,input_mode,gpt_model,prediction,normalized_prediction,is_correct,match_reason,timestamp
0,unknown_0,??,airplane,zero_simple,image,gpt-4o,pencil,pencil,False,none,2025-08-04T14:42:24.293317
1,unknown_1,??,axe,zero_simple,image,gpt-4o,axe,axe,True,exact,2025-08-04T14:42:25.085741
2,unknown_2,??,baseball bat,zero_simple,image,gpt-4o,exclamation mark,exclamation mark,False,none,2025-08-04T14:42:26.096319
3,unknown_3,??,book,zero_simple,image,gpt-4o,open book,open book,True,phrase,2025-08-04T14:42:26.643917
4,unknown_4,??,bucket,zero_simple,image,gpt-4o,cowboy hat,cowboy hat,False,none,2025-08-04T14:42:27.344415
5,unknown_5,??,cat,zero_simple,image,gpt-4o,cat face,cat face,True,phrase,2025-08-04T14:42:27.859513
6,unknown_6,??,cloud,zero_simple,image,gpt-4o,cloud,cloud,True,exact,2025-08-04T14:42:28.372988
7,unknown_7,??,diamond,zero_simple,image,gpt-4o,human ear,human ear,False,none,2025-08-04T14:42:29.146670
8,unknown_8,??,envelope,zero_simple,image,gpt-4o,envelope,envelope,True,exact,2025-08-04T14:42:30.091803
9,unknown_9,??,finger,zero_simple,image,gpt-4o,fingers,finger,True,exact,2025-08-04T14:42:30.678243
10,unknown_10,??,hammer,zero_simple,image,gpt-4o,hammer,hammer,True,exact,2025-08-04T14:42:31.438043
11,unknown_11,??,hot dog,zero_simple,image,gpt-4o,hot dog,hot dog,True,exact,2025-08-04T14:42:32.809319
12,unknown_12,??,knife,zero_simple,image,gpt-4o,fist pump,fist pump,False,none,2025-08-04T14:42:33.412225
13,unknown_13,??,light bulb,zero_simple,image,gpt-4o,mushroom,mushroom,False,none,2025-08-04T14:42:34.080974
14,unknown_14,??,mountain,zero_simple,image,gpt-4o,line graph,line graph,False,none,2025-08-04T14:42:34.634404
15,unknown_15,??,nose,zero_simple,image,gpt-4o,neck,neck,False,none,2025-08-04T14:42:36.134401
16,unknown_16,??,pants,zero_simple,image,gpt-4o,bent arm,bent arm,False,none,2025-08-04T14:42:36.635415
17,unknown_17,??,pencil,zero_simple,image,gpt-4o,pencil,pencil,True,exact,2025-08-04T14:42:37.198670
18,unknown_18,??,postcard,zero_simple,image,gpt-4o,envelope,envelope,False,none,2025-08-04T14:42:38.063453
19,unknown_19,??,rainbow,zero_simple,image,gpt-4o,rainbow,rainbow,True,exact,2025-08-04T14:42:38.999825
20,unknown_20,??,shoe,zero_simple,image,gpt-4o,airplane tail,airplane tail,False,none,2025-08-04T14:42:40.217566
21,unknown_21,??,snake,zero_simple,image,gpt-4o,snake,snake,True,exact,2025-08-04T14:42:40.817065
22,unknown_22,??,square,zero_simple,image,gpt-4o,bucket,bucket,False,none,2025-08-04T14:42:43.041293
23,unknown_23,??,sun,zero_simple,image,gpt-4o,sun,sun,True,exact,2025-08-04T14:42:44.062002
24,unknown_24,??,tent,zero_simple,image,gpt-4o,tent,tent,True,exact,2025-08-04T14:42:44.583251
25,unknown_25,??,tree,zero_simple,image,gpt-4o,tree,tree,True,exact,2025-08-04T14:42:45.457035
26,unknown_26,??,vase,zero_simple,image,gpt-4o,flower vase,flower vase,True,phrase,2025-08-04T14:42:46.021323
27,unknown_27,??,zigzag,zero_simple,image,gpt-4o,zigzag line,zigzag line,True,phrase,2025-08-04T14:42:46.699210
