index,drawing_id,countrycode,category,prompt_id,input_mode,gpt_model,prediction,normalized_prediction,is_correct,match_reason,timestamp
0,5152802093400064,US,airplane,zero_cot,image,gpt-4o,swiss army knife,swiss army knife,False,none,2025-08-04T16:54:29.920135
1,5344373355053056,KR,axe,zero_cot,image,gpt-4o,axe,axe,True,exact,2025-08-04T16:54:30.725949
2,4700595321569280,US,baseball bat,zero_cot,image,gpt-4o,exclamation mark,exclamation mark,False,none,2025-08-04T16:54:31.641490
3,6181511223050240,US,book,zero_cot,image,gpt-4o,book,book,True,exact,2025-08-04T16:54:32.744657
4,4835770021969920,RU,bucket,zero_cot,image,gpt-4o,sailboat,sailboat,False,none,2025-08-04T16:54:33.515547
5,5201136883597312,VE,cat,zero_cot,image,gpt-4o,cat face,cat face,True,phrase,2025-08-04T16:54:34.657313
6,4746105067667456,US,cloud,zero_cot,image,gpt-4o,cloud,cloud,True,exact,2025-08-04T16:54:35.641462
7,6444383903678464,US,diamond,zero_cot,image,gpt-4o,sock,sock,False,none,2025-08-04T16:54:36.144849
8,6708848645636096,US,envelope,zero_cot,image,gpt-4o,envelope,envelope,True,exact,2025-08-04T16:54:36.727979
9,5647081626664960,US,finger,zero_cot,image,gpt-4o,fingers,finger,True,exact,2025-08-04T16:54:37.209873
10,6384088971739136,AE,hammer,zero_cot,image,gpt-4o,hammer,hammer,True,exact,2025-08-04T16:54:39.312983
11,6635661295616000,SV,hot dog,zero_cot,image,gpt-4o,hot dog,hot dog,True,exact,2025-08-04T16:54:40.140921
12,5132624739696640,US,knife,zero_cot,image,gpt-4o,hair brush,hair brush,False,none,2025-08-04T16:54:41.084413
13,4999702888054784,US,light bulb,zero_cot,image,gpt-4o,mushroom,mushroom,False,none,2025-08-04T16:54:41.909505
14,4785293959888896,US,mountain,zero_cot,image,gpt-4o,zigzag line,zigzag line,False,none,2025-08-04T16:54:42.641907
15,6094501456117760,AU,nose,zero_cot,image,gpt-4o,vase,vase,False,none,2025-08-04T16:54:43.583565
16,6425433853657088,CA,pants,zero_cot,image,gpt-4o,table leg,table leg,False,none,2025-08-04T16:54:44.255609
17,6063234429747200,PL,pencil,zero_cot,image,gpt-4o,pencil,pencil,True,exact,2025-08-04T16:54:44.887901
18,6038473456746496,US,postcard,zero_cot,image,gpt-4o,envelope,envelope,False,none,2025-08-04T16:54:45.672906
19,4773497005932544,US,rainbow,zero_cot,image,gpt-4o,rainbow,rainbow,True,exact,2025-08-04T16:54:46.530753
20,4633601083703296,US,shoe,zero_cot,image,gpt-4o,airplane,airplane,False,none,2025-08-04T16:54:47.076145
21,5821025994407936,US,snake,zero_cot,image,gpt-4o,snake,snake,True,exact,2025-08-04T16:54:47.782049
22,5500252800942080,GB,square,zero_cot,image,gpt-4o,bucket,bucket,False,none,2025-08-04T16:54:48.321197
23,5712076074909696,RU,sun,zero_cot,image,gpt-4o,sun,sun,True,exact,2025-08-04T16:54:49.090188
24,6107946884792320,US,tent,zero_cot,image,gpt-4o,tent,tent,True,exact,2025-08-04T16:54:49.636216
25,4593716037681152,TW,tree,zero_cot,image,gpt-4o,tree,tree,True,exact,2025-08-04T16:54:50.281798
26,5263944287518720,GB,vase,zero_cot,image,gpt-4o,vase,vase,True,exact,2025-08-04T16:54:50.805464
27,4846295376199680,US,zigzag,zero_cot,image,gpt-4o,mountain range,mountain range,False,none,2025-08-04T16:54:51.658466
